cmd,nl
"find ""$(pwd -P)"" -mtime 0 -not \( -name '*.swp' -o -regex './es.*' -o -regex './en.*' \)",search the current directory recursively for files last modified within the past 24 hours ignoring .swp files and paths ./es* and ./en*
"find -name ""*.c""",find all filenames ending with .c in the current directory tree
perl -p -i -e 's/oldstring/newstring/g' `find ./ -name *.html`,find all the html files in current folder and replace old string with new string
"getent group <groupname> | cut -d: -f4 |  tr ',' '\n'",list the users having <groupname> as their secondary group.
find . -mtime -1 | xargs ls -ld,display a long listing of all the files in the current folder which have been modified in the last 24 hours
"find . -type f -name ""*.java"" | xargs tar rvf myfile.tar",append *.java files from the current directory tree to tar archive `myfile.tar'
find debian/fglrx/ -name 'fglrx-libGL*',find all fglrx-libgl* files under and below debian/fglrx/
find $HOME -name \*txt -o -name \*html -print0,"find in $home files ending in ""txt"" and do nothing with them, or files ending in ""html"" and list them null separated."
find $HOME -type d -name $1 -exec echo {} ';'  -exec rm -rf {} ';',find all directories named $1 under $home directory tree and remove them
mv $file $(echo $file | rev | cut -f2- -d- | rev).pkg,"rename $file file, preserving only part of name before '-' symbol, and appending '.pkg' suffix to the end"
"find . -type d -iname '*foo*' -depth -exec bash -c '     echo mv ""$1"" ""${1//[Ff][Oo][Oo]/BAr}"" ' -- {} \;",move all *foo* (case insensitive) directories under current directory to new paths obtained by replacing all occurrences of 'foo' (case insensitive) with 'bar' in their paths
find sort_test/ -type f | env -i LC_COLLATE=en_US.utf8 sort,print a list of regular files from directory tree sort_test/ sorted with lc_collate=en_us.utf8
find ~/ -mtime -2 -o -newer filename,search the current user's home directory and its sub-directories for any file that was modified less than 2 days ago or was modified after filename was last modified.
"echo -e ""$correctFilePathAndName"" | xargs touch","create empty files (or update timestamps if they exist) with names matching each word in variable ""correctfilepathandname"""
find /TBD/* -mtime +1 | xargs rm -rf,delete all files in the tbd directory that were modified more than 1 day ago
xxd -p file | tr -d '\n',"print contents of ""file"" as space separated hexadecimal bytes on a single line"
"cd ""$(ls -rd [0-9]*/ | tail --lines 1)""","go to last directory with name starting with a number, useful for timestamped directory names."
"find . -type f \! -iregex '.\|./.git' -exec perl -i'' -pe ""s/$lower1/$lower2/g"" {} +",find all files under current directory that match the case insensitive regex .\|./.git and replace (all occurrences) the text matching the regex expanded by $lower1 with $lower2 in these files
find . -type f -exec wc -l {} \; | awk '{ SUM += $0} END { print SUM }',count total number of lines in all files below current directory.
"find /home/jassi/ -name ""aliencoders.[0-9]+"" |& xargs ls -lrt | awk '{print $9}'",list all aliencoders.[0-9]+ files/directories under /home/jassi/ directory
cat $1.tmp | sort -u,print all unique strings in $1.tmp file.
"find ./ -name ""blabla"" -exec wc -l {} ;","find files named ""blabla"" in the current directory tree and print the number of lines in each of them"
cp /file/that/exists /location/for/new/file,"copy file ""exist"" from directory ""/file/that"" to a new file named ""file"" in ""/location/for/new"""
find . -atime +7 -o -size +`expr 10 \* 1024 \* 2` -print,"find any files in the current directory and its sub-directories that were last accessed more than 7 days or are larger than 10 * 1024 * 2 blocks in size, that is larger than 20480 blocks."
rename 's/^/new./' original.filename,"add ""new."" to the beginning of the name of ""original.filename"", renaming it to ""new.original.filename""."
find . -name a\*.html,find all html files starting with letter 'a' in the current directory and below
awk 'FNR==NR { for(i=2;i<=NF;i++) a[$1][i]=$i; next } { for(j=2;j<=NF;j++) $j-=a[$1][j] }1' File2 File1 | rev | column -t | rev,"subtract all columns in ""file2"" from ""file1"" except the first"
yes $'one\ntwo' | head -10 | nl | sort -R | cut -f2- | head -3,"print either ""one"" or ""two"" randomly three times"
"find . -type f -print0 | tr '\0' ','",print all files in the current directory tree as a comma separated list
kill %1,send sigterm signal to first process sent to background by the current shell.
hostname -a -l mydomain.com | sed -n '/;; ANSWER/{n;N;p;q}',"print sub domains of ""mydomain.com"""
mount,list all mounted filesystems
dpkg -S `which command`,"display which package the command ""command"" belongs to in dpkg"
rsync -rvv --recursive /path/to/data/myappdata user@host:/remote/path/to/data/newdirname,"recursively copy directory ""/path/to/data/myappdata"" to ""user@host:/remote/path/to/data/newdirname"""
chmod 755 /folder -R,"recursively set all permissions under ""/folder"" to 755"
"find ~/$folder -name ""*@*"" -type f -print0","find all regular files whose names contain ""@"" in directory tree ~/$folder"
find . -type f -exec md5sum \{\} \;,calculate and show md5 sums for every files under current directory tree
"find ./ -type f -exec grep -l ""Text To Find"" {} \;",search for 'text to find' in all regular files under current directory tree and show the matched files
true | echo `tty | sed 's:/dev/::'`,runs 'tty' command in a subshell that is opened by built-in function 'true'.
"find . -type f -name '*.m4a' -exec bash -c 'avconv -i ""$0"" ""${0/%m4a/mp3}""' '{}' \;",convert all m4a sound files in a directory and its subdirectories to mp3 files
"find / -mount -name ""*.txt""",find all the text files in the file system and search only in the disk partition of the root.
comm <(sort -n f1.txt) <(sort -n f2.txt),"compare sorted files 'f1.txt' and 'f2.txt' and print in three columns strings unique for first file, second file, and common ones"
find  /storage/sdcard0/tencent/MicroMsg/ -type f  -iname '*.jpg' -print0,search the /storage/sdcard0/tencent/micromsg/ directory tree for jpg files
find /tmp/* -atime +10 -exec rm -f {} \;,force delete all files in the temp folder which have not been accesses in the last 240 hours
"find . -name ""*.andnav"" | rename -vn ""s/\.andnav$/.tile/""",do a dry run of renaming file extension '.andnav' to '.tile' for all files/directories under current directory tree
find . -inum 782263 -exec rm -i {} \;,delete files with inode number 782263 under current directory
find . -regex filename-regex.\*\.html -exec grep -H string-to-find {} \;,search for 'string-to-find' in all files under current directory tree matching the regex 'filename-regex.\*\.html' in their paths and show the matched lines along with the filenames
find /home -user <usernmae> -print,find all the files in the home folder that belong to a specific user
find usr/include -name '*.h' -mtime -399 | wc,"find all the header files in /usr/include which have been modified in the last 399 days and display the number of lines, number of files, number of characters of all these files"
"find /var/log -group adm -name ""*.log""",find all files/directories with '.log' extension that belong to the group 'adm' under '/var/log' directory tree
find /path/to/srcdir -type f -print0 | xargs -0 -i% mv % dest/,"recursively move all files in ""/path/to/srcdir"" to ""dest/"""
tail great-big-file.log,"print the last 10 lines of ""great-big-file.log"""
"join -j2  <(seq 0 255) <(seq 0 255) | xargs -n256 printf ""%02x/%02x\n"" | xargs mkdir -p","create 256 directories named from '00' to 'ff', each containing 256 subdirectories named '00' to 'ff'."
find /etc -type l -print,search the /etc directory tree for symbolic links
"ifconfig eth0 | awk '/inet addr/{sub(""addr:"",""""); print $2}'",gets ip address of 'eth0' network interface.
df -Ph,report file systems disk usage human-readable using posix output format.
find / -name '*python*',search for files having python in filename
find /Users/david/Desktop/ -type f,search directory /users/david/desktop/ recursively for regular files
find . -user tommye,find all files starting from the current directory which are owned by the user tommye
"find ${x} -type d -exec chmod ug=rwx,o= '{}' \;",find all directories under $x directory and set read-write-execute permission for owner and group and no permission for other for those directories
chgrp -R project_dev /home/user1/project/dev,recursively changes group ownership of everything in a '/home/user1/project/dev' folder to 'project_dev'.
"find dir -not \( -path ""dir1"" -o -path ""dir2"" -prune \) -type f",list all regular files which path is not dir1 or dir2
find . -type f -name '*.php' -exec grep -Hcm2 $ {} + | sed -n '/:1$/{s///;p}',find all php files under current directory that contain only one line
"yes -- ""-tcp"" | head -n 2","output two lines of ""-tcp"""
who -su | sort | uniq | column,print unique list of who is logged in and the time of login formatted in columns
brew install git bash-completion,installs git and bash-completion packages.
find test -type d -regex '.*/course[0-9]\.[0-9]\.[0-9]\.[0-9]$',find all directories under 'test' directory tree whose paths match the regex '.*/course[0-9]\.[0-9]\.[0-9]\.[0-9]$'
ssh -fL 127.0.0.1:someport:host.in.the.remote.net:22 proxy.host,"allow ssh from 127.0.0.1 on port ""someport"" through ""proxy.host"" to ""host.in.the.remote.net"" on port 22"
"find . -name ""*.bak"" -delete",delete all the backup files in current directory
cp `which python2.7` myenv/bin/python,"copy the executable ""python2.7"" in $path to ""myenv/bin/python"""
find . -mtime +180 -exec du -ks {} \; | cut -f1 | awk '{total=total+$1}END{print total/1024}',search for all the files which have not been modified in the last 6 months (180 days) in current folder and display the total disk usage of them
find . -name *.mp3,find all *.mp3 files under current directory
tr -s ' ' | cut -d ' ' -f 2,print second section of data coming from stdin where sections are separated by one or more whitespace.
cal -h | cut -c 4-17 | tail -n +3,print all business days in the current month without column titles
